f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
270,-1.01,0.35,9.82,9.67,-32.00,20.50,22.00,-33.00,4.00,34.80,101242,0.00
292,-0.96,0.44,9.77,9.00,-32.17,20.17,22.00,-32.00,3.00,34.80,101252,0.00
315,-1.01,0.39,9.86,9.83,-32.17,20.67,21.00,-33.00,4.00,34.80,101249,0.00
338,-0.96,0.48,9.73,9.67,-31.83,20.67,21.00,-33.00,4.00,34.80,101242,0.00
361,-1.01,0.44,9.91,9.67,-31.83,20.83,21.00,-32.00,3.00,34.90,101249,-0.20
391,-0.96,0.39,9.82,9.50,-31.50,20.50,21.00,-32.00,3.00,34.90,101259,-1.09
413,-1.01,0.44,9.91,9.33,-32.00,21.00,22.00,-33.00,3.00,34.90,101249,-0.20
437,-0.88,0.39,9.91,9.33,-31.67,20.50,22.00,-33.00,3.00,34.90,101262,-1.36
459,-1.01,0.48,9.86,9.83,-32.00,21.00,22.00,-33.00,3.00,34.90,101252,-0.47
482,-0.96,0.39,9.86,9.50,-31.67,20.17,22.00,-32.00,3.00,34.90,101252,-0.47
505,-1.01,0.48,9.82,9.17,-31.67,20.17,21.00,-33.00,4.00,34.90,101255,-0.73
528,-1.05,0.48,9.86,9.67,-32.00,20.67,22.00,-33.00,3.00,34.90,101259,-1.09
555,-1.01,0.44,9.73,9.17,-32.00,20.17,21.00,-33.00,3.00,34.90,101249,-0.20
578,-1.01,0.39,9.73,9.33,-32.00,20.67,22.00,-32.00,3.00,34.90,101255,-0.73
601,-0.92,0.44,9.77,9.50,-31.83,20.50,22.00,-34.00,3.00,34.90,101246,0.07
623,-1.05,0.44,9.82,9.50,-32.00,20.83,21.00,-33.00,4.00,34.90,101255,-0.73
647,-1.01,0.44,9.77,9.83,-32.33,20.67,21.00,-32.00,3.00,34.90,101242,0.43
669,-1.05,0.44,9.82,9.33,-31.83,20.33,21.00,-32.00,3.00,34.90,101249,-0.20
692,-1.01,0.44,9.77,9.33,-31.83,20.33,22.00,-33.00,1.00,34.80,101239,0.70
718,-0.96,0.39,9.82,9.50,-32.00,20.17,21.00,-32.00,3.00,34.90,101252,-0.47
742,-1.01,0.48,9.82,9.50,-31.67,20.50,22.00,-34.00,3.00,34.90,101265,-1.63
764,-1.01,0.48,9.77,9.50,-31.00,20.17,22.00,-32.00,3.00,34.90,101246,0.07
787,-1.01,0.44,9.86,9.50,-31.33,21.00,22.00,-32.00,3.00,34.90,101249,-0.20
811,-1.01,0.48,9.86,9.83,-31.83,20.67,21.00,-32.00,3.00,34.90,101252,-0.47
833,-1.01,0.39,9.73,9.33,-31.67,20.33,21.00,-32.00,4.00,34.90,101246,0.07
856,-0.92,0.44,9.77,9.83,-31.50,20.67,21.00,-31.00,3.00,34.90,101249,-0.20
882,-1.01,0.39,9.77,8.83,-31.50,20.50,22.00,-31.00,3.00,34.90,101249,-0.20
906,-1.01,0.44,9.82,9.33,-31.67,20.33,20.00,-32.00,3.00,34.90,101249,-0.20
928,-1.01,0.39,9.82,9.50,-31.33,20.50,22.00,-33.00,3.00,34.90,101255,-0.73
951,-0.92,0.44,9.91,9.33,-32.00,20.50,22.00,-32.00,3.00,34.90,101252,-0.47
974,-1.01,0.44,9.77,9.17,-32.00,20.33,22.00,-33.00,4.00,34.90,101252,-0.47
997,-1.01,0.44,9.86,9.33,-31.83,20.33,21.00,-33.00,3.00,34.90,101255,-0.73
1024,-1.01,0.44,9.77,9.67,-31.67,20.50,22.00,-33.00,3.00,34.90,101246,0.07
1047,-0.92,0.44,9.82,9.67,-31.83,20.17,22.00,-32.00,2.00,34.90,101242,0.43
1070,-0.92,0.44,9.86,9.33,-31.83,20.83,22.00,-33.00,2.00,34.90,101252,-0.47
1092,-1.05,0.53,9.82,9.50,-32.17,20.67,22.00,-33.00,4.00,34.90,101259,-1.09
1116,-1.01,0.44,9.86,9.50,-31.33,20.17,22.00,-34.00,3.00,34.90,101246,0.07
1138,-0.96,0.48,9.77,9.17,-31.50,20.50,21.00,-33.00,2.00,34.90,101255,-0.73
1162,-0.92,0.44,9.73,9.33,-31.83,20.50,23.00,-32.00,3.00,34.90,101252,-0.47
1188,-1.01,0.48,9.82,9.67,-31.83,20.83,22.00,-34.00,3.00,34.90,101259,-1.09
1211,-1.01,0.35,9.77,9.33,-32.00,20.17,22.00,-31.00,4.00,34.90,101255,-0.73
1233,-1.01,0.44,9.82,9.50,-31.67,20.17,21.00,-31.00,4.00,34.90,101246,0.07
1257,-1.01,0.35,9.77,9.67,-31.67,20.67,22.00,-34.00,2.00,34.90,101246,0.07
1280,-1.01,0.48,9.82,9.33,-31.83,20.00,21.00,-32.00,3.00,34.90,101252,-0.47
1303,-0.96,0.39,9.69,9.00,-31.50,20.50,21.00,-33.00,3.00,34.90,101255,-0.73
1326,-1.01,0.48,9.91,9.67,-31.67,20.50,21.00,-31.00,3.00,34.90,101252,-0.47
1352,-1.01,0.35,9.77,9.50,-32.00,19.67,21.00,-32.00,1.00,34.90,101249,-0.20
1375,-1.01,0.39,9.73,9.50,-31.67,20.33,21.00,-31.00,2.00,34.90,101249,-0.20
1398,-0.96,0.39,9.82,9.67,-31.83,20.50,21.00,-32.00,3.00,34.90,101249,-0.20
1421,-1.05,0.39,9.86,9.17,-31.67,20.00,21.00,-32.00,3.00,34.90,101259,-1.09
1455,-1.01,0.35,9.73,9.67,-31.67,20.17,22.00,-32.00,2.00,34.90,101252,-0.47
1480,-0.96,0.39,9.82,9.67,-31.83,20.67,21.00,-33.00,3.00,34.90,101246,0.07
1515,-1.01,0.53,9.82,9.33,-31.83,20.83,22.00,-33.00,3.00,34.90,101246,0.07
1538,-1.01,0.44,9.91,9.33,-32.00,20.17,21.00,-32.00,3.00,34.90,101246,0.07
1561,-1.01,0.48,9.86,9.17,-31.50,20.67,22.00,-31.00,4.00,34.90,101249,-0.20
1584,-1.01,0.53,9.86,9.00,-32.00,20.50,22.00,-33.00,4.00,34.80,101242,0.43
1606,-0.96,0.44,9.77,9.50,-31.50,20.50,22.00,-33.00,3.00,34.90,101255,-0.73
1630,-0.92,0.57,9.82,9.33,-31.83,20.67,22.00,-32.00,3.00,34.90,101255,-0.73
1652,-0.96,0.48,9.86,9.83,-31.67,20.83,21.00,-31.00,3.00,34.90,101252,-0.47
1679,-1.01,0.44,9.77,9.50,-31.83,20.67,21.00,-32.00,3.00,34.90,101262,-1.36
1702,-1.05,0.48,9.86,9.50,-31.83,20.17,22.00,-32.00,3.00,34.90,101252,-0.47
1725,-0.96,0.39,9.73,9.50,-31.83,20.67,22.00,-33.00,4.00,34.90,101259,-1.09
1747,-1.01,0.44,9.86,9.83,-31.83,20.67,21.00,-34.00,3.00,34.90,101268,-1.90
1771,-1.05,0.44,9.73,9.83,-31.83,20.33,22.00,-33.00,2.00,34.90,101252,-0.47
1794,-1.01,0.39,9.69,10.17,-31.67,20.67,21.00,-32.00,4.00,34.90,101249,-0.20
1817,-1.01,0.44,9.82,9.50,-31.50,20.67,22.00,-33.00,3.00,34.80,101246,0.07
1844,-1.01,0.48,9.73,9.67,-32.00,20.67,22.00,-32.00,2.00,34.90,101249,-0.20
1866,-0.96,0.39,9.82,9.67,-31.83,20.33,21.00,-33.00,4.00,34.90,101255,-0.73
1889,-0.96,0.35,9.73,9.50,-31.67,20.67,20.00,-32.00,2.00,34.90,101249,-0.20
1912,-1.01,0.44,9.86,9.67,-31.83,20.17,22.00,-32.00,3.00,34.90,101255,-0.73
1935,-1.01,0.39,9.82,9.17,-31.67,20.33,22.00,-31.00,3.00,34.80,101249,-0.20
1958,-0.92,0.39,9.77,9.50,-31.50,20.83,22.00,-31.00,3.00,34.90,101252,-0.47
1985,-0.96,0.44,9.95,9.50,-31.33,20.50,21.00,-33.00,3.00,34.90,101255,-0.73
2008,-0.96,0.44,9.86,9.67,-31.67,20.83,22.00,-33.00,4.00,34.90,101249,-0.20
2031,-0.96,0.44,9.77,9.67,-31.50,20.83,22.00,-33.00,3.00,34.80,101242,0.43
2054,-0.96,0.48,9.86,9.67,-32.00,20.67,22.00,-33.00,3.00,34.90,101259,-1.09
2076,-0.96,0.48,9.82,9.67,-31.83,20.50,22.00,-32.00,3.00,34.90,101252,-0.47
2100,-0.96,0.39,9.77,9.50,-31.50,20.50,21.00,-32.00,3.00,34.90,101246,0.07
2122,-1.01,0.48,9.82,9.50,-31.83,20.50,21.00,-33.00,4.00,34.90,101252,-0.47
2149,-1.01,0.48,9.86,10.00,-31.67,20.67,21.00,-33.00,3.00,34.90,101259,-1.09
2172,-1.10,0.39,9.86,9.67,-31.83,20.50,22.00,-32.00,4.00,34.90,101249,-0.20
2195,-1.01,0.39,9.77,9.50,-31.67,20.83,21.00,-33.00,3.00,34.90,101242,0.43
2217,-1.05,0.44,9.82,9.83,-31.67,20.67,22.00,-33.00,3.00,34.90,101249,-0.20
2241,-0.96,0.39,9.82,9.67,-31.67,20.67,21.00,-32.00,3.00,34.90,101265,-1.63
2264,-1.05,0.44,9.82,9.17,-31.83,20.83,21.00,-34.00,4.00,34.90,101252,-0.47
2287,-0.96,0.39,9.82,10.00,-31.83,20.33,22.00,-33.00,4.00,34.90,101252,-0.47
2314,-1.05,0.44,9.82,9.67,-31.67,19.67,21.00,-33.00,2.00,34.90,101249,-0.20
2336,-1.01,0.39,9.77,9.83,-31.17,20.33,21.00,-33.00,3.00,34.90,101246,0.07
2359,-1.05,0.44,9.91,9.33,-31.50,20.50,21.00,-33.00,3.00,34.90,101249,-0.20
2382,-0.96,0.48,9.82,9.50,-31.67,20.33,22.00,-33.00,4.00,34.90,101249,-0.20
2405,-0.92,0.44,9.95,10.00,-31.50,21.00,22.00,-33.00,3.00,34.90,101255,-0.73
2428,-0.96,0.48,9.91,9.17,-31.50,20.33,22.00,-33.00,3.00,34.90,101252,-0.47
2455,-1.01,0.44,9.91,9.33,-31.50,20.83,23.00,-32.00,3.00,34.90,101265,-1.63
2478,-0.96,0.44,9.77,9.67,-31.50,20.83,23.00,-32.00,4.00,34.90,101252,-0.47
2500,-0.92,0.35,9.82,9.67,-31.67,20.67,22.00,-33.00,4.00,34.90,101256,-0.82
2524,-0.92,0.48,9.86,10.00,-31.67,20.50,21.00,-31.00,3.00,34.90,101249,-0.20
2546,-1.01,0.44,9.95,9.33,-31.67,20.17,22.00,-32.00,3.00,34.90,101259,-1.09
2570,-1.01,0.48,9.77,9.33,-32.00,20.33,22.00,-32.00,3.00,34.90,101252,-0.47
2592,-1.01,0.48,9.77,9.50,-31.67,20.50,21.00,-33.00,3.00,34.90,101242,0.43
2619,-1.05,0.44,9.82,9.67,-31.67,20.50,20.00,-31.00,3.00,34.90,101255,-0.73
2655,-1.05,0.35,9.86,9.67,-31.33,20.33,21.00,-33.00,4.00,34.90,101246,0.07
2680,-1.01,0.39,9.86,9.17,-31.83,20.50,21.00,-33.00,2.00,34.90,101255,-0.73
2703,-1.01,0.39,9.82,9.50,-31.50,20.17,21.00,-32.00,3.00,34.90,101252,-0.47
2725,-0.88,0.35,9.77,9.33,-31.50,20.33,21.00,-34.00,4.00,34.90,101255,-0.73
2749,-0.96,0.35,9.82,9.67,-32.00,20.67,21.00,-33.00,3.00,34.90,101255,-0.73
2771,-1.01,0.48,9.86,9.17,-32.00,20.50,20.00,-31.00,3.00,34.90,101242,0.43
2806,-1.01,0.39,9.77,9.50,-31.67,20.33,22.00,-33.00,3.00,34.90,101259,-1.09
2830,-1.05,0.48,9.73,9.67,-32.17,20.00,22.00,-33.00,3.00,34.90,101252,-0.47
2852,-1.01,0.44,9.82,9.83,-32.17,20.50,21.00,-32.00,3.00,34.90,101249,-0.20
2875,-0.96,0.44,9.77,9.33,-31.50,20.50,21.00,-31.00,2.00,34.90,101259,-1.09
2898,-0.96,0.39,9.82,9.50,-31.50,20.33,22.00,-33.00,4.00,34.90,101249,-0.20
2921,-1.01,0.44,9.86,9.50,-31.67,20.17,21.00,-31.00,3.00,34.90,101262,-1.36
2948,-0.96,0.48,9.73,9.67,-31.67,20.00,22.00,-33.00,3.00,34.90,101252,-0.47
2971,-1.05,0.48,9.91,9.33,-32.00,20.33,22.00,-33.00,4.00,34.90,101262,-1.36
2994,-0.92,0.48,9.86,9.50,-31.67,20.50,22.00,-32.00,2.00,34.90,101246,0.07
3016,-0.96,0.44,9.86,10.00,-31.83,20.17,21.00,-33.00,3.00,34.90,101249,-0.20
3040,-0.96,0.44,9.77,9.50,-31.50,20.50,23.00,-34.00,2.00,34.90,101252,-0.47
3062,-1.01,0.48,10.26,9.50,-31.83,20.50,20.00,-34.00,3.00,34.90,101255,-0.73
3086,-1.05,0.35,9.95,9.33,-32.17,20.83,24.00,-37.00,3.00,34.90,101259,-1.09
3112,-0.96,0.44,9.34,9.50,-31.67,19.50,19.00,-31.00,2.00,34.90,101252,-0.47
3135,-0.96,0.44,10.21,9.50,-32.17,20.67,20.00,-32.00,4.00,34.90,101265,-1.63
3159,-1.01,0.35,9.82,9.50,-31.67,20.67,23.00,-33.00,2.00,34.90,101252,-0.47
3181,-0.96,0.44,9.60,9.33,-32.00,20.50,20.00,-29.00,2.00,34.90,101259,-1.09
3204,-0.96,0.48,9.73,9.17,-31.83,20.83,23.00,-34.00,3.00,34.90,101255,-0.73
3227,-1.01,0.39,9.64,10.00,-31.50,20.67,22.00,-32.00,3.00,34.90,101259,-1.09
3250,-1.01,0.48,10.04,9.83,-31.50,20.50,21.00,-32.00,2.00,34.90,101255,-0.73
3276,-0.92,0.39,9.77,9.33,-32.50,20.50,22.00,-32.00,4.00,34.90,101259,-1.09
3300,-1.01,0.39,9.69,9.83,-31.83,20.17,21.00,-32.00,3.00,34.90,101249,-0.20
3322,-1.05,0.44,9.86,9.17,-31.50,20.50,22.00,-34.00,3.00,34.90,101272,-2.26
3346,-1.01,0.39,9.64,9.67,-31.83,21.17,22.00,-32.00,3.00,34.90,101255,-0.73
3368,-1.01,0.44,9.91,9.33,-31.67,20.67,21.00,-32.00,3.00,34.90,101246,0.07
3391,-0.88,0.39,9.82,9.00,-31.50,20.17,22.00,-35.00,3.00,34.90,101262,-1.36
3418,-0.96,0.39,9.82,9.83,-32.00,20.67,21.00,-34.00,2.00,34.90,101249,-0.20
3441,-0.92,0.39,9.91,9.33,-31.50,20.67,22.00,-34.00,3.00,34.90,101252,-0.47
3464,-0.96,0.48,9.77,9.50,-31.83,20.33,24.00,-33.00,4.00,34.90,101255,-0.73
3487,-1.01,0.44,9.86,9.83,-31.83,20.33,21.00,-33.00,3.00,34.90,101246,0.07
3510,-1.01,0.53,9.99,9.50,-31.67,20.67,20.00,-33.00,2.00,34.90,101259,-1.09
3532,-1.01,0.48,9.77,9.50,-31.83,20.50,21.00,-34.00,3.00,34.90,101255,-0.73
3556,-1.01,0.48,9.82,9.67,-32.00,20.33,23.00,-31.00,3.00,34.90,101252,-0.47
3582,-1.01,0.48,9.91,9.67,-31.83,20.17,21.00,-33.00,3.00,34.90,101255,-0.73
3605,-0.96,0.48,9.73,9.33,-31.67,20.83,22.00,-34.00,3.00,34.90,101239,0.70
3629,-0.96,0.44,9.91,9.83,-31.67,20.50,21.00,-33.00,4.00,34.90,101256,-0.82
3651,-0.96,0.39,9.82,9.83,-31.50,20.83,22.00,-32.00,3.00,34.90,101252,-0.47
3674,-1.05,0.44,9.77,9.67,-32.00,20.50,22.00,-33.00,3.00,34.90,101262,-1.36
3697,-0.96,0.39,9.77,10.00,-31.67,20.67,21.00,-33.00,3.00,34.90,101259,-1.09
3720,-1.05,0.48,9.77,9.67,-31.67,20.50,22.00,-34.00,3.00,34.90,101249,-0.20
3746,-1.01,0.44,9.77,10.17,-31.33,21.17,21.00,-32.00,4.00,34.90,101242,0.43
3770,-0.96,0.35,9.82,9.50,-31.50,21.00,20.00,-33.00,3.00,34.90,101246,0.07
3792,-0.96,0.39,9.77,9.17,-31.67,20.50,22.00,-33.00,2.00,34.90,101246,0.07
3816,-1.01,0.44,9.77,9.33,-31.67,20.83,22.00,-33.00,3.00,34.90,101252,-0.47
3851,-1.01,0.44,9.77,10.00,-32.17,20.33,22.00,-32.00,3.00,34.90,101252,-0.47
3876,-1.01,0.44,9.82,9.50,-31.50,20.67,22.00,-33.00,2.00,34.90,101239,0.70
3903,-0.96,0.44,9.73,8.83,-31.67,20.67,21.00,-32.00,3.00,34.90,101246,0.07
3926,-1.01,0.48,9.73,9.17,-31.67,20.67,21.00,-33.00,3.00,34.90,101252,-0.47
3949,-1.01,0.44,9.86,9.33,-31.67,20.17,22.00,-32.00,3.00,34.90,101242,0.43
3972,-0.96,0.44,9.86,9.17,-31.50,21.00,21.00,-31.00,3.00,34.90,101259,-1.09
3995,-0.96,0.44,9.82,9.33,-31.50,20.50,22.00,-32.00,4.00,34.90,101242,0.43
4018,-0.96,0.53,9.82,9.67,-31.83,20.83,21.00,-33.00,3.00,34.90,101252,-0.47
4040,-1.01,0.44,9.77,9.67,-32.00,20.83,20.00,-34.00,3.00,34.90,101255,-0.73
4075,-1.01,0.44,9.86,9.50,-31.50,20.83,21.00,-31.00,3.00,34.90,101249,-0.20
4099,-1.01,0.44,9.73,9.67,-31.83,20.83,21.00,-32.00,4.00,34.90,101246,0.07
4121,-1.01,0.44,9.82,9.50,-31.67,20.67,21.00,-31.00,2.00,34.90,101246,0.07
4145,-0.92,0.44,9.73,9.00,-31.67,20.83,22.00,-32.00,2.00,34.90,101252,-0.47
4167,-1.01,0.48,9.86,9.50,-31.67,20.33,21.00,-32.00,4.00,34.90,101246,0.07
4190,-1.05,0.44,9.86,9.17,-32.00,20.50,21.00,-32.00,4.00,34.90,101246,0.07
4213,-0.83,0.22,9.82,9.33,-31.67,20.50,22.00,-32.00,3.00,34.90,101246,0.07
4240,-1.01,0.31,9.82,9.83,-32.00,20.17,21.00,-32.00,3.00,34.90,101246,0.07
4262,-1.01,0.48,9.77,9.83,-31.67,20.33,22.00,-31.00,4.00,34.90,101259,-1.09
4286,-1.14,0.57,9.77,10.00,-32.17,20.50,22.00,-32.00,3.00,34.90,101252,-0.47
4308,-1.10,0.61,9.82,9.67,-31.83,20.67,21.00,-33.00,3.00,34.90,101252,-0.47
4331,-1.05,0.48,9.77,9.50,-31.67,20.33,21.00,-34.00,3.00,34.90,101246,0.07
4355,-0.92,0.39,9.82,9.83,-32.00,20.50,22.00,-33.00,3.00,34.90,101259,-1.09
4381,-0.92,0.31,9.86,9.67,-31.67,20.50,22.00,-33.00,3.00,34.90,101259,-1.09
4404,-0.96,0.35,9.82,9.50,-31.67,20.50,21.00,-32.00,3.00,34.90,101246,0.07
4427,-0.96,0.44,9.82,9.00,-31.83,20.67,22.00,-32.00,3.00,34.90,101249,-0.20
4450,-1.01,0.44,9.86,9.50,-32.00,20.67,21.00,-33.00,3.00,34.90,101259,-1.09
4472,-0.96,0.57,9.86,9.33,-32.17,20.67,22.00,-34.00,2.00,34.90,101255,-0.73
4496,-0.96,0.48,9.86,9.33,-31.83,20.67,22.00,-33.00,3.00,34.90,101262,-1.36
4518,-0.96,0.44,9.86,10.17,-31.67,20.67,22.00,-32.00,3.00,34.90,101259,-1.09
4545,-0.92,0.39,9.82,10.00,-32.00,20.50,23.00,-33.00,3.00,34.90,101246,0.07
4569,-0.96,0.44,9.77,9.50,-31.67,20.00,20.00,-34.00,2.00,34.90,101252,-0.47
4591,-0.96,0.44,9.95,9.17,-31.50,20.33,22.00,-34.00,3.00,34.90,101256,-0.82
4615,-0.92,0.35,9.82,9.67,-31.33,20.50,22.00,-33.00,3.00,34.90,101255,-0.73
4637,-1.01,0.48,9.91,9.50,-32.00,20.17,21.00,-30.00,2.00,34.90,101249,-0.20
4660,-0.96,0.44,9.86,9.17,-32.17,21.50,23.00,-35.00,4.00,34.90,101262,-1.36
4683,-1.01,0.48,9.64,9.67,-32.17,20.50,22.00,-32.00,3.00,34.90,101246,0.07
4710,-1.10,0.48,9.91,9.50,-31.83,20.50,20.00,-32.00,4.00,34.90,101262,-1.36
4732,-0.96,0.39,9.77,9.67,-31.83,20.33,22.00,-34.00,3.00,34.90,101255,-0.73
4756,-0.96,0.53,9.73,9.83,-31.67,20.17,21.00,-32.00,2.00,34.90,101246,0.07
4779,-0.96,0.39,9.82,9.33,-31.67,20.33,22.00,-33.00,3.00,34.90,101259,-1.09
4801,-0.96,0.39,9.82,9.50,-31.67,20.67,23.00,-34.00,3.00,34.90,101242,0.43
4825,-1.01,0.39,9.91,9.17,-31.50,20.67,22.00,-33.00,3.00,34.90,101252,-0.47
4851,-0.92,0.44,9.77,9.50,-31.83,20.50,22.00,-33.00,3.00,34.90,101242,0.43
4874,-1.01,0.48,9.64,9.50,-32.17,20.17,22.00,-32.00,2.00,34.90,101242,0.43
4897,-1.01,0.44,9.86,9.17,-32.00,20.17,22.00,-33.00,3.00,34.90,101246,0.07
4920,-1.01,0.53,9.82,9.67,-31.50,20.50,22.00,-34.00,3.00,34.90,101246,0.07
4942,-0.92,0.44,9.77,9.00,-32.67,20.67,22.00,-32.00,3.00,34.90,101252,-0.47
4966,-0.92,0.39,9.82,9.50,-31.33,20.50,22.00,-35.00,2.00,34.90,101255,-0.73
4988,-0.83,0.31,9.91,9.50,-31.67,20.33,21.00,-29.00,3.00,34.90,101255,-0.73
5015,-0.88,0.31,9.86,9.83,-31.50,20.33,20.00,-26.00,3.00,34.90,101242,0.43
5051,-1.01,0.44,9.86,9.33,-31.67,20.17,24.00,-38.00,3.00,34.90,101246,0.07
5076,-1.01,0.53,9.77,8.83,-31.50,20.17,21.00,-30.00,3.00,34.90,101256,-0.82
5099,-1.05,0.53,9.82,9.50,-31.33,20.67,18.00,-36.00,4.00,34.90,101262,-1.36
5122,-0.66,0.26,9.73,9.17,-31.83,20.67,19.00,-27.00,3.00,34.90,101259,-1.09
5145,-1.14,0.35,9.77,9.17,-31.83,20.33,48.00,-37.00,7.00,34.90,101252,-0.47
5168,-0.79,0.35,9.69,9.67,-31.17,20.50,37.00,-51.00,-1.00,34.90,101255,-0.73
5208,-1.01,0.44,9.82,9.33,-31.83,20.33,21.00,-29.00,1.00,34.90,101252,-0.47
5231,-1.01,0.44,9.69,9.83,-31.83,20.33,21.00,-32.00,3.00,34.90,101255,-0.73
5254,-0.70,-1.40,9.73,9.67,-31.67,20.83,44.00,24.00,-134.00,34.90,101252,-0.47
5277,-0.88,-0.26,9.82,9.83,-31.83,20.50,49.00,-38.00,-344.00,34.90,101259,-1.09
5300,-1.88,1.53,9.73,9.67,-31.67,20.17,29.00,-41.00,-129.00,34.90,101262,-1.36
5323,-1.23,0.31,9.82,9.67,-31.50,20.67,15.00,-72.00,18.00,34.90,101256,-0.82
5361,0.22,1.40,9.95,9.67,-32.17,20.17,7.00,-138.00,563.00,34.90,101252,-0.47
5385,-0.92,0.57,9.99,9.33,-31.67,19.83,68.00,-185.00,126.00,34.90,101262,-1.36
5407,-0.26,1.58,9.73,9.83,-32.17,20.50,103.00,-485.00,106.00,34.90,101262,-1.36
5431,-0.22,1.27,9.47,9.83,-32.17,20.67,-11.00,-254.00,350.00,34.90,101255,-0.73
5454,-1.31,0.00,10.34,10.50,-32.00,20.50,87.00,-94.00,400.00,34.90,101265,-1.63
5477,-1.80,-0.57,10.47,10.17,-32.00,20.17,298.00,-850.00,269.00,34.90,101252,-0.47
5500,0.18,1.01,10.78,11.50,-31.33,20.00,378.00,-917.00,211.00,34.90,101259,-1.09
5527,0.44,0.70,9.73,12.00,-31.33,19.50,260.00,-659.00,179.00,34.90,101255,-0.73
5551,0.00,0.26,9.47,12.50,-31.17,19.83,289.00,-390.00,161.00,34.90,101269,-1.99
5573,-0.92,1.14,9.29,12.33,-31.67,19.67,103.00,-266.00,237.00,34.90,101269,-1.99
5597,0.26,1.84,9.64,13.00,-30.83,19.33,59.00,-232.00,237.00,34.90,101249,-0.20
5619,0.48,0.83,10.12,12.67,-31.17,19.50,101.00,-198.00,71.00,34.90,101252,-0.47
5643,0.57,0.26,10.08,13.17,-31.17,19.67,124.00,-266.00,15.00,34.90,101256,-0.82
5669,1.31,1.45,8.85,12.83,-30.83,19.33,112.00,-46.00,115.00,34.90,101252,-0.47
5693,0.35,1.27,8.90,12.00,-31.17,19.33,39.00,361.00,393.00,34.90,101262,-1.36
5715,0.35,1.01,9.29,11.00,-32.00,20.33,52.00,989.00,431.00,34.90,101255,-0.73
5739,-0.13,0.92,9.99,10.50,-31.83,20.33,54.00,945.00,448.00,34.90,101259,-1.09
5762,0.00,0.39,11.00,8.83,-32.00,20.00,-26.00,676.00,483.00,34.90,101252,-0.47
5785,-0.53,0.75,10.39,7.83,-31.83,20.67,-9.00,973.00,361.00,34.90,101262,-1.36
5812,-2.41,-1.71,11.79,6.67,-32.33,21.00,104.00,1006.00,234.00,34.90,101252,-0.47
5835,-1.49,1.14,9.64,5.67,-32.17,21.17,-128.00,926.00,267.00,34.90,101249,-0.20
5858,-1.49,1.97,9.69,6.00,-32.50,21.17,-47.00,803.00,67.00,34.90,101255,-0.73
5881,-1.58,1.01,10.04,5.17,-32.33,21.17,205.00,489.00,-427.00,34.90,101259,-1.09
5904,-1.67,0.70,9.91,4.50,-31.83,21.17,311.00,370.00,-534.00,34.90,101249,-0.20
5927,-2.37,0.57,9.77,4.33,-32.00,21.50,178.00,559.00,-223.00,34.90,101259,-1.09
5950,-2.63,0.88,9.38,3.33,-31.50,21.83,51.00,762.00,42.00,34.90,101255,-0.73
5977,-2.50,1.67,9.29,2.50,-31.50,21.50,80.00,526.00,-50.00,34.90,101252,-0.47
6000,-2.89,1.31,9.38,1.67,-31.67,21.50,64.00,477.00,-82.00,34.90,101262,-1.36
6023,-3.29,0.92,9.55,2.00,-31.50,21.17,37.00,596.00,-49.00,34.90,101272,-2.26
6046,-2.63,1.23,9.73,0.67,-31.33,21.83,112.00,455.00,-118.00,34.90,101255,-0.73
6070,-3.33,0.96,9.07,0.33,-31.50,21.83,47.00,896.00,-309.00,34.90,101255,-0.73
6092,-3.16,1.45,8.63,-0.50,-31.50,21.83,118.00,692.00,-431.00,34.90,101246,0.07
6119,-3.29,1.58,9.16,-0.17,-30.83,21.83,181.00,39.00,-184.00,34.90,101259,-1.09
6142,-4.69,0.35,8.33,0.33,-31.00,21.67,40.00,-210.00,23.00,34.90,101262,-1.36
6165,-4.08,1.27,8.41,0.50,-31.17,21.67,19.00,-790.00,74.00,34.90,101259,-1.09
6189,-1.49,1.71,10.17,2.33,-31.00,21.50,178.00,-1259.00,-126.00,34.90,101252,-0.47
6212,-2.54,0.31,9.47,2.50,-30.67,21.83,162.00,-863.00,-320.00,34.90,101255,-0.73
6235,-3.11,1.45,9.34,3.33,-31.00,22.00,-123.00,-625.00,156.00,34.90,101255,-0.73
6275,-2.15,2.10,9.60,4.67,-30.67,21.33,177.00,-1392.00,20.00,34.90,101259,-1.09
6300,0.09,1.36,9.99,8.00,-30.00,21.17,686.00,-2488.00,-210.00,34.90,101252,-0.47
6323,-0.35,-1.80,11.13,8.83,-29.67,20.67,58.00,-660.00,-68.00,34.90,101259,-1.09
6346,-2.24,0.79,8.55,9.17,-29.67,21.17,-224.00,161.00,371.00,34.90,101246,0.07
6370,-0.04,1.36,10.39,9.00,-30.50,21.00,-242.00,28.00,197.00,34.90,101256,-0.82
6392,0.22,1.18,10.47,9.67,-30.17,21.00,-104.00,-370.00,-110.00,34.90,101242,0.43
6416,0.61,0.83,9.60,9.50,-30.17,20.67,7.00,-507.00,-422.00,34.90,101246,0.07
6443,-1.40,0.79,9.95,9.67,-30.67,20.50,-11.00,-211.00,-216.00,34.90,101262,-1.36
6465,-0.75,0.79,9.29,10.17,-30.17,20.50,6.00,121.00,-69.00,34.90,101259,-1.09
6489,-1.18,1.49,10.30,9.67,-30.50,20.67,21.00,124.00,-85.00,34.90,101249,-0.20
