f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
22187,-0.39,0.18,9.91,10.00,-33.67,19.00,22.00,-32.00,2.00,35.70,101271,-0.66
22210,-0.48,0.26,9.86,10.17,-33.33,19.67,22.00,-31.00,3.00,35.70,101267,-0.31
22233,-0.48,0.18,9.91,9.67,-33.33,19.67,23.00,-32.00,2.00,35.70,101271,-0.66
22259,-0.48,0.13,9.91,10.17,-33.50,19.67,22.00,-31.00,3.00,35.70,101267,-0.31
22283,-0.53,0.18,9.82,10.00,-33.00,19.17,22.00,-31.00,1.00,35.70,101280,-1.47
22305,-0.57,0.18,9.73,9.50,-33.33,19.67,22.00,-32.00,3.00,35.70,101277,-1.20
22329,-0.48,0.22,9.86,9.83,-33.17,19.67,21.00,-31.00,1.00,35.70,101267,-0.31
22351,-0.53,0.18,9.86,9.67,-33.17,19.83,22.00,-32.00,3.00,35.70,101267,-0.31
22375,-0.48,0.18,9.77,10.00,-33.00,19.33,22.00,-31.00,3.00,35.70,101274,-0.93
22402,-0.48,0.18,9.82,10.17,-33.33,19.67,22.00,-30.00,2.00,35.70,101267,-0.31
22424,-0.44,0.13,9.77,10.17,-33.50,19.33,23.00,-30.00,2.00,35.70,101277,-1.20
22448,-0.48,0.13,9.82,10.00,-33.17,19.00,22.00,-31.00,2.00,35.70,101271,-0.66
22470,-0.53,0.26,9.86,9.83,-32.83,19.50,22.00,-30.00,3.00,35.70,101277,-1.20
22494,-0.48,0.18,9.82,9.50,-33.33,19.17,22.00,-31.00,2.00,35.70,101267,-0.31
22516,-0.53,0.18,9.86,9.83,-32.83,19.17,22.00,-33.00,3.00,35.70,101277,-1.20
22540,-0.53,0.18,9.91,9.67,-33.33,19.17,22.00,-31.00,3.00,35.70,101274,-0.93
22579,-0.44,0.18,9.82,9.33,-33.17,19.83,22.00,-31.00,2.00,35.70,101290,-2.37
22602,-0.44,0.18,9.73,9.67,-32.83,19.50,23.00,-31.00,2.00,35.70,101267,-0.31
22625,-0.48,0.18,9.69,9.33,-33.67,19.33,22.00,-30.00,2.00,35.70,101284,-1.83
22648,-0.48,0.22,9.86,9.33,-33.00,19.83,22.00,-31.00,2.00,35.70,101271,-0.66
22671,-0.57,0.22,9.82,9.67,-33.00,19.50,22.00,-31.00,3.00,35.70,101274,-0.93
